"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"312","","Jonnu Smith","TEN","TE42","8","161","327","269.9","44.5","314.0","+2.0"
"313","","Washington (WAS)","","DST26","4","179","380","276.6","56.6","238.0","-75.0"
"314","","Teddy Bridgewater","NYJ","QB35","11","175","412","258.4","69.7","311.0","-3.0"
"315","","Kenny Britt","NE","WR106","11","165","319","269.4","34.9","354.0","+39.0"
"316","","Virgil Green","LAC","TE43","8","171","300","241.4","35.3","297.0","-19.0"
"317","","Stephen Anderson","HOU","TE44","10","183","297","253.6","32.2","259.0","-58.0"
"318","","Tampa Bay (TB)","","DST27","5","185","378","265.7","57.6","336.0","+18.0"
"319","","Nick Boyle","BAL","TE45","10","170","337","254.7","68.2","",""
"320","","Adam Humphries","TB","WR107","5","171","335","258.4","52.2","364.0","+44.0"
"321","","DeAndre Washington","OAK","RB85","7","171","405","283.3","49.7","334.0","+13.0"
"322","","San Francisco (SF)","","DST28","11","181","379","284.8","58.6","331.0","+9.0"
"323","","Jakeem Grant","MIA","WR108","11","172","343","275.3","74.2","406.0","+83.0"
"324","","Blair Walsh","FA","K23","","174","320","251.6","49.0","",""
"325","","Oakland (OAK)","","DST29","7","188","385","273.2","82.4","320.0","-5.0"
"326","","Miami (MIA)","","DST30","11","187","384","288.8","83.7","",""
"327","","Phil Dawson","ARI","K24","9","178","390","282.8","58.3","368.0","+41.0"
"328","","Jaylen Samuels","PIT","TE46","7","183","360","263.2","56.4","280.0","-48.0"
"329","","Josh Rosen","ARI","QB36","9","184","329","276.6","43.5","218.0","-111.0"
"330","","Robert Turbin","IND","RB86","9","184","407","299.1","53.4","340.0","+10.0"
"331","","Mark Walton","CIN","RB87","9","184","483","313.6","67.9","347.0","+16.0"
"332","","Ryan Fitzpatrick","TB","QB37","5","186","524","308.4","97.9","330.0","-2.0"
"333","","Jaron Brown","SEA","WR109","7","187","295","255.8","25.6","349.0","+16.0"
"334","","Zay Jones","BUF","WR110","11","187","298","257.2","27.7","303.0","-31.0"
"335","","J.J. Nelson","ARI","WR111","9","193","308","261.0","36.4","359.0","+24.0"
"336","","De'Angelo Henderson","DEN","RB88","10","190","329","281.4","41.5","306.0","-30.0"
"337","","Curtis Samuel","CAR","WR112","4","191","325","268.3","37.7","352.0","+15.0"
"338","","Baker Mayfield","CLE","QB38","11","192","525","281.2","68.3","208.0","-130.0"
"339","","Jordan Akins","HOU","TE47","10","192","306","252.5","42.0","369.0","+30.0"
"340","","Joe Williams","SF","RB89","11","193","348","263.1","35.5","333.0","-7.0"
"341","","Kendall Wright","MIN","WR113","10","195","309","268.5","31.6","389.0","+48.0"
"342","","Nick Foles","PHI","QB39","9","195","526","332.2","107.9","277.0","-65.0"
"343","","Ryan Griffin","HOU","TE48","10","196","318","250.8","40.2","289.0","-54.0"
"344","","Chad Williams","ARI","WR114","9","197","376","269.3","43.2","378.0","+34.0"
"345","","Cody Latimer","NYG","WR115","9","198","307","253.3","38.6","356.0","+11.0"
"346","","Tyler Higbee","LAR","TE49","12","199","354","266.5","42.6","416.0","+70.0"
"347","","Jalen Richard","OAK","RB90","7","199","356","274.7","40.8","339.0","-8.0"
"348","","Kevin White","CHI","WR116","5","205","372","263.3","43.3","286.0","-62.0"
"349","","Bruce Ellington","HOU","WR117","10","235","310","268.8","29.1","",""
"350","","Daurice Fountain","IND","WR118","9","213","328","270.5","57.5","",""
"351","","Caleb Sturgis","LAC","K25","8","202","396","270.9","49.8","",""
"352","","Malcolm Mitchell","FA","WR119","","260","282","271.0","11.0","307.0","-45.0"
"353","","New York (NYJ)","","DST31","11","207","383","273.1","70.0","",""
"354","","Torrey Smith","CAR","WR120","4","209","340","274.4","32.1","346.0","-8.0"
"355","","Jeremy McNichols","SF","RB91","11","217","333","275.0","58.0","422.0","+67.0"
"356","","Wendell Smallwood","PHI","RB92","9","272","278","275.0","3.0","",""
"357","","J.D. McKissic","SEA","RB93","7","274","276","275.0","1.0","361.0","+4.0"
"358","","Cordarrelle Patterson","NE","WR121","11","260","312","277.8","18.8","318.0","-40.0"
"359","","Mark Andrews","BAL","TE50","10","206","335","278.0","43.0","324.0","-35.0"
"360","","Clive Walford","NYJ","TE51","11","227","314","278.6","34.9","",""
"361","","Jordan Leggett","NYJ","TE52","11","225","342","284.3","47.8","",""
"362","","Chris Herndon IV","NYJ","TE53","11","265","334","285.0","25.7","407.0","+45.0"
"363","","Michael Roberts","DET","TE54","6","276","294","285.0","9.0","376.0","+13.0"
"364","","Laquon Treadwell","MIN","WR122","10","235","344","285.3","41.6","375.0","+11.0"
"365","","Ryan Switzer","OAK","WR123","7","226","388","286.5","57.0","402.0","+37.0"
"366","","Mike Gillislee","NE","RB94","11","237","364","287.5","36.4","358.0","-8.0"
"367","","Seth Roberts","OAK","WR124","7","224","361","288.4","50.7","399.0","+32.0"
"368","","Jermaine Gresham","ARI","TE55","9","260","350","289.8","32.9","",""
"369","","Braedon Bowman","LAC","TE56","8","278","305","291.5","13.5","",""
"370","","Dustin Hopkins","WAS","K26","4","204","397","293.3","53.4","343.0","-27.0"
"371","","Josh Malone","CIN","WR125","9","243","344","293.5","50.5","",""
"372","","Breshad Perriman","BAL","WR126","10","243","324","295.0","36.9","",""
"373","","Nick O'Leary","BUF","TE57","11","272","333","295.0","27.1","",""
"374","","Chris Conley","KC","WR127","12","239","351","296.1","38.9","",""
"375","","Jeremy Kerley","BUF","WR128","11","230","331","296.5","39.5","",""
"376","","Dalton Schultz","DAL","TE58","8","270","323","296.5","26.5","",""
"377","","J'Mon Moore","GB","WR129","7","202","378","296.8","59.3","319.0","-58.0"
"378","","AJ McCarron","BUF","QB40","11","255","326","296.9","23.8","338.0","-40.0"
"379","","Alfred Blue","HOU","RB95","10","245","373","297.7","38.3","403.0","+24.0"
"380","","Keith Smith","OAK","RB96","7","273","327","298.0","22.3","",""
"381","","Mike Davis","SEA","RB97","7","234","332","298.6","30.1","",""
"382","","Demarcus Robinson","KC","WR130","12","267","337","299.0","28.9","",""
"383","","Andre Holmes","BUF","WR131","11","285","316","300.5","15.5","",""
"384","","Marquez Valdes-Scantling","GB","WR132","7","238","384","301.0","57.2","397.0","+13.0"
"385","","Kapri Bibbs","WAS","RB98","4","268","335","301.5","33.5","315.0","-70.0"
"386","","Terrance West","NO","RB99","6","249","368","301.5","31.4","410.0","+24.0"
"387","","Tajae Sharpe","TEN","WR133","8","292","312","302.0","10.0","425.0","+38.0"
"388","","Pharoh Cooper","LAR","WR134","12","249","358","303.5","54.5","373.0","-15.0"
"389","","Jeff Heuerman","DEN","TE59","10","281","324","306.3","16.2","382.0","-7.0"
"390","","Cameron Artis-Payne","CAR","RB100","4","219","405","308.0","65.8","304.0","-86.0"
"391","","Niles Paul","JAC","TE60","9","298","319","308.5","10.5","",""
"392","","Kamar Aiken","PHI","WR135","9","267","334","308.7","29.7","",""
"393","","Demetrius Harris","KC","TE61","12","288","325","308.7","15.4","",""
"394","","Josh Reynolds","LAR","WR136","12","280","353","309.0","30.9","",""
"395","","Amara Darboh","SEA","WR137","7","291","328","309.3","15.1","",""
"396","","Travaris Cadet","BUF","RB101","11","269","355","310.6","23.4","353.0","-43.0"
"397","","Brandon LaFell","FA","WR138","","268","408","310.9","49.4","345.0","-52.0"
"398","","Jacquizz Rodgers","TB","RB102","5","219","420","311.6","50.9","342.0","-56.0"
"399","","Cody Parkey","CHI","K27","5","209","399","313.8","48.0","",""
"400","","Orleans Darkwa","FA","RB103","","236","409","315.2","44.8","348.0","-52.0"
"401","","Charcandrick West","KC","RB104","12","254","465","316.8","78.0","428.0","+27.0"
"402","","Chris Moore","BAL","WR139","10","284","350","317.0","33.0","",""
"403","","Marcedes Lewis","GB","TE62","7","295","343","317.0","20.5","429.0","+26.0"
"404","","Seth DeValve","CLE","TE63","11","301","334","317.5","16.5","",""
"405","","Carlos Henderson","DEN","WR140","10","275","348","317.7","31.1","",""
"406","","Thomas Rawls","NYJ","RB105","11","232","503","317.8","66.9","419.0","+13.0"
"407","","Justin Jackson","LAC","RB106","8","242","481","318.0","53.4","329.0","-78.0"
"408","","Benny Cunningham","CHI","RB107","5","288","346","320.3","24.1","",""
"409","","Sebastian Janikowski","SEA","K28","7","290","393","320.8","42.5","",""
"410","","Logan Paulsen","ATL","TE64","8","310","332","321.0","11.0","",""
"411","","Indianapolis (IND)","","DST32","9","219","386","322.0","73.5","",""
"412","","Roger Lewis","NYG","WR141","9","287","379","322.7","40.3","",""
"413","","Dwayne Allen","NE","TE65","11","319","330","324.5","5.5","366.0","-47.0"
"414","","TJ Jones","DET","WR142","6","228","403","324.7","72.6","",""
"415","","Chandler Catanzaro","TB","K29","5","277","394","325.9","32.3","",""
"416","","Derek Carrier","OAK","TE66","7","318","340","329.0","11.0","",""
"417","","Ito Smith","ATL","RB108","8","229","482","338.5","91.2","344.0","-73.0"
"418","","Shane Vereen","NO","RB109","6","267","509","338.8","99.9","",""
"419","","Rashard Higgins","CLE","WR143","11","337","341","339.0","2.0","",""
"420","","Bo Scarbrough","DAL","RB110","8","225","513","339.4","95.4","276.0","-144.0"
"421","","Boston Scott","NO","RB111","6","272","492","340.5","64.0","374.0","-47.0"
"422","","Giorgio Tavecchio","FA","K30","","284","398","341.0","57.0","",""
"423","","Jarius Wright","CAR","WR144","4","339","348","343.5","4.5","",""
"424","","Aldrick Rosas","NYG","K31","9","287","401","344.0","57.0","",""
"425","","Rhett Ellison","NYG","TE67","9","338","354","346.0","8.0","",""
"426","","Rico Gathers","DAL","TE68","8","291","414","347.0","39.3","261.0","-165.0"
"427","","Darrius Heyward-Bey","PIT","WR145","7","294","401","347.5","53.5","",""
"428","","Akrum Wadley","TEN","RB112","8","233","467","350.0","117.0","",""
"429","","Jacoby Brissett","IND","QB41","9","251","532","350.8","95.8","332.0","-97.0"
"430","","Damien Williams","KC","RB113","12","258","463","351.3","84.7","",""
"431","","Phillip Dorsett","NE","WR146","11","233","490","354.7","105.4","328.0","-103.0"
"432","","Justin Hardy","ATL","WR147","8","311","406","358.5","47.5","",""
"433","","Jacob Hollister","NE","TE69","11","344","373","358.5","14.5","",""
"434","","Malcolm Brown","LAR","RB114","12","293","432","359.3","56.9","394.0","-40.0"
"435","","DaeSean Hamilton","DEN","WR148","10","342","395","360.7","24.3","316.0","-119.0"
"436","","Braxton Miller","HOU","WR149","10","343","383","363.0","20.0","432.0","-4.0"
"437","","Levine Toilolo","DET","TE70","6","341","391","366.0","25.0","",""
"438","","D.J. Foster","ARI","RB115","9","334","491","393.0","69.8","",""
"439","","Eli Rogers","PIT","WR150","7","345","447","396.0","51.0","",""
"440","","Mack Brown","MIN","RB116","10","404","415","409.5","5.5","",""
"441","","ArDarius Stewart","NYJ","WR151","11","346","495","420.5","74.5","",""
"442","","Trey Edmunds","NO","RB117","6","345","507","426.0","81.0","",""
"443","","David Fluellen","TEN","RB118","8","413","487","450.0","37.0","",""
""
""
