"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"72","","Carson Wentz","PHI","QB7","9","35","156","77.1","20.9","70.0","-2.0"
"73","","Cooper Kupp","LAR","WR34","12","46","114","76.0","14.0","88.0","+15.0"
"74","","Randall Cobb","GB","WR35","7","40","128","76.4","20.0","92.0","+18.0"
"75","","Kyle Rudolph","MIN","TE8","10","18","133","79.0","18.5","80.0","+5.0"
"76","","Tevin Coleman","ATL","RB26","8","35","145","76.2","20.8","67.0","-9.0"
"77","","Robert Woods","LAR","WR36","12","39","132","76.8","17.0","83.0","+6.0"
"78","","Robby Anderson","NYJ","WR37","11","39","186","78.8","20.0","95.0","+17.0"
"79","","Marshawn Lynch","OAK","RB27","7","43","133","79.5","17.9","64.0","-15.0"
"80","","Kirk Cousins","MIN","QB8","10","46","117","81.1","17.3","94.0","+14.0"
"81","","Chris Thompson","WAS","RB28","4","39","215","78.9","26.1","79.0","-2.0"
"82","","Kerryon Johnson","DET","RB29","6","27","164","82.5","24.0","69.0","-13.0"
"83","","Duke Johnson","CLE","RB30","11","35","186","84.4","26.8","85.0","+2.0"
"84","","Andrew Luck","IND","QB9","9","41","180","87.1","21.7","91.0","+7.0"
"85","","Devin Funchess","CAR","WR38","4","44","191","84.3","19.3","84.0","-1.0"
"86","","Matthew Stafford","DET","QB10","6","54","152","89.3","17.7","99.0","+13.0"
"87","","Julian Edelman","NE","WR39","11","50","211","87.5","22.4","72.0","-15.0"
"88","","Tarik Cohen","CHI","RB31","5","45","142","85.3","20.4","82.0","-6.0"
"89","","Sony Michel","NE","RB32","11","42","162","89.5","23.1","77.0","-12.0"
"90","","Trey Burton","CHI","TE9","5","27","200","93.4","24.7","96.0","+6.0"
"91","","Jordan Reed","WAS","TE10","4","25","166","94.2","20.4","87.0","-4.0"
"92","","Will Fuller","HOU","WR40","10","63","147","91.8","16.2","75.0","-17.0"
"93","","Rashaad Penny","SEA","RB33","7","41","175","92.3","26.3","66.0","-27.0"
"94","","Nelson Agholor","PHI","WR41","9","54","160","91.4","17.6","105.0","+11.0"
"95","","Jordy Nelson","OAK","WR42","7","44","149","93.5","17.8","93.0","-2.0"
"96","","Carlos Hyde","CLE","RB34","11","44","146","96.5","24.0","81.0","-15.0"
"97","","Ben Roethlisberger","PIT","QB11","7","53","150","99.5","16.4","104.0","+7.0"
"98","","Sterling Shepard","NYG","WR43","9","65","167","99.3","19.5","106.0","+8.0"
"99","","Jack Doyle","IND","TE11","9","63","142","100.6","16.2","107.0","+8.0"
"100","","Kenny Stills","MIA","WR44","11","46","252","97.9","27.7","120.0","+20.0"
"101","","Philip Rivers","LAC","QB12","8","62","173","104.7","20.5","110.0","+9.0"
"102","","Isaiah Crowell","NYJ","RB35","11","60","162","100.9","21.6","86.0","-16.0"
"103","","Kelvin Benjamin","BUF","WR45","11","66","200","102.6","18.2","102.0","-1.0"
"104","","Jimmy Garoppolo","SF","QB13","11","47","155","106.7","20.9","101.0","-3.0"
"105","","Jamaal Williams","GB","RB36","7","46","170","103.1","27.1","97.0","-8.0"
"106","","Ronald Jones II","TB","RB37","5","38","191","108.0","29.6","62.0","-44.0"
"107","","Chris Carson","SEA","RB38","7","19","239","110.5","32.0","100.0","-7.0"
"108","","Marlon Mack","IND","RB39","9","53","169","108.5","24.4","98.0","-10.0"
"109","","Devante Parker","MIA","WR46","11","44","182","108.8","26.7","103.0","-6.0"
"110","","Matt Ryan","ATL","QB14","8","62","183","114.3","22.6","108.0","-2.0"
"111","","David Njoku","CLE","TE12","11","80","150","115.9","16.7","112.0","+1.0"
"112","","Marqise Lee","JAC","WR47","9","60","166","109.7","17.9","124.0","+12.0"
"113","","George Kittle","SF","TE13","11","68","202","117.8","22.8","128.0","+15.0"
"114","","Patrick Mahomes","KC","QB15","12","56","196","121.4","22.7","118.0","+4.0"
"115","","Jared Goff","LAR","QB16","12","69","183","123.2","20.9","116.0","+1.0"
"116","","James White","NE","RB40","11","61","217","117.8","29.8","117.0","+1.0"
"117","","Marcus Mariota","TEN","QB17","8","55","188","125.8","22.3","125.0","+8.0"
"118","","Allen Hurns","DAL","WR48","8","48","238","115.8","27.1","121.0","+3.0"
"119","","Ty Montgomery","GB","RB41","7","40","182","120.1","26.4","114.0","-5.0"
"120","","Giovani Bernard","CIN","RB42","9","71","256","124.6","27.3","132.0","+12.0"
"121","","D.J. Moore","CAR","WR49","4","72","227","123.5","25.0","119.0","-2.0"
"122","","C.J. Anderson","CAR","RB43","4","58","193","127.0","27.0","115.0","-7.0"
"123","","Alex Smith","WAS","QB18","4","50","182","131.4","23.3","129.0","+6.0"
"124","","Rishard Matthews","TEN","WR50","8","34","231","126.9","30.8","155.0","+31.0"
"125","","Kenny Golladay","DET","WR51","6","85","247","130.3","28.4","146.0","+21.0"
"126","","O.J. Howard","TB","TE14","5","69","232","138.2","26.0","147.0","+21.0"
"127","","Charles Clay","BUF","TE15","11","79","188","136.5","20.7","179.0","+52.0"
"128","","Dak Prescott","DAL","QB19","8","76","204","138.3","24.1","135.0","+7.0"
"129","","Tyler Eifert","CIN","TE16","9","82","221","138.2","25.2","138.0","+9.0"
"130","","Josh Doctson","WAS","WR52","4","81","248","130.3","24.9","144.0","+14.0"
"131","","Cameron Meredith","NO","WR53","6","74","258","132.5","30.8","126.0","-5.0"
"132","","Peyton Barber","TB","RB44","5","61","218","131.7","31.5","136.0","+4.0"
"133","","Theo Riddick","DET","RB45","6","70","260","134.4","28.8","145.0","+12.0"
"134","","Devontae Booker","DEN","RB46","10","70","260","136.1","30.7","137.0","+3.0"
"135","","Aaron Jones","GB","RB47","7","51","225","138.2","29.7","109.0","-26.0"
"136","","Bilal Powell","NYJ","RB48","11","63","192","134.2","27.5","159.0","+23.0"
"137","","Tyler Lockett","SEA","WR54","7","79","221","133.6","30.1","154.0","+17.0"
"138","","Mike Williams","LAC","WR55","8","68","233","137.0","36.2","133.0","-5.0"
"139","","Jacksonville (JAC)","","DST1","9","75","260","140.5","24.9","111.0","-28.0"
"140","","Cameron Brate","TB","TE17","5","76","203","146.7","21.8","165.0","+25.0"
"141","","Eric Ebron","IND","TE18","9","59","267","146.1","26.5","205.0","+64.0"
"142","","Jared Cook","OAK","TE19","7","80","232","146.4","22.0","184.0","+42.0"
"143","","Nick Chubb","CLE","RB49","11","94","232","143.6","25.9","113.0","-30.0"
"144","","Anthony Miller","CHI","WR56","5","93","245","142.9","32.9","151.0","+7.0"
"145","","Calvin Ridley","ATL","WR57","8","75","238","142.1","30.6","123.0","-22.0"
"146","","Minnesota (MIN)","","DST2","10","78","262","148.2","25.0","130.0","-16.0"
"147","","Derek Carr","OAK","QB20","7","71","211","155.0","24.5","139.0","-8.0"
"148","","Corey Clement","PHI","RB50","9","86","274","146.5","31.9","143.0","-5.0"
"149","","Michael Gallup","DAL","WR58","8","76","214","139.7","32.4","141.0","-8.0"
"150","","DeSean Jackson","TB","WR59","5","107","241","146.5","31.6","171.0","+21.0"
"151","","Mohamed Sanu","ATL","WR60","8","63","263","148.0","41.3","161.0","+10.0"
"152","","Matt Breida","SF","RB51","11","35","244","150.7","30.4","158.0","+6.0"
"153","","Blake Bortles","JAC","QB21","9","61","210","157.0","25.7","181.0","+28.0"
"154","","Philadelphia (PHI)","","DST3","9","81","282","156.6","26.4","131.0","-23.0"
"155","","Chris Godwin","TB","WR61","5","102","215","146.2","30.9","172.0","+17.0"
"156","","Los Angeles (LAR)","","DST4","12","83","261","156.8","27.2","122.0","-34.0"
"157","","Mitch Trubisky","CHI","QB22","5","85","220","159.6","22.8","163.0","+6.0"
"158","","Austin Seferian-Jenkins","JAC","TE20","9","103","222","155.8","25.8","164.0","+6.0"
"159","","Benjamin Watson","NO","TE21","6","112","278","162.6","33.4","195.0","+36.0"
"160","","Nyheim Hines","IND","RB52","9","94","261","157.6","33.7","148.0","-12.0"
"161","","Eli Manning","NYG","QB23","9","95","218","162.8","22.6","182.0","+21.0"
"162","","Ricky Seals-Jones","ARI","TE22","9","72","261","162.7","30.0","228.0","+66.0"
"163","","Tyrell Williams","LAC","WR62","8","86","264","152.6","36.9","191.0","+28.0"
"164","","Dez Bryant","FA","WR63","","48","244","144.8","41.2","149.0","-15.0"
"165","","Los Angeles (LAC)","","DST5","8","91","286","163.1","27.9","152.0","-13.0"
"166","","Paul Richardson","WAS","WR64","4","103","263","155.8","34.7","168.0","+2.0"
"167","","Latavius Murray","MIN","RB53","10","97","231","162.0","25.3","142.0","-25.0"
"168","","Houston (HOU)","","DST6","10","96","290","165.9","26.4","153.0","-15.0"
"169","","Austin Hooper","ATL","TE23","8","89","265","166.1","30.7","174.0","+5.0"
"170","","Case Keenum","DEN","QB24","10","68","227","168.1","26.2","192.0","+22.0"
"171","","Denver (DEN)","","DST7","10","88","267","166.6","23.3","169.0","-2.0"
"172","","John Brown","BAL","WR65","10","90","254","161.5","43.0","178.0","+6.0"
"173","","Andy Dalton","CIN","QB25","9","111","275","174.3","27.3","194.0","+21.0"
"174","","Samaje Perine","WAS","RB54","4","85","271","161.0","41.9","170.0","-4.0"
"175","","Baltimore (BAL)","","DST8","10","86","291","172.9","26.1","156.0","-19.0"
"176","","Stephen Gostkowski","NE","K1","11","92","313","171.2","28.6","134.0","-42.0"
"177","","Vance McDonald","PIT","TE24","7","101","246","174.9","30.3","210.0","+33.0"
"178","","Jordan Wilkins","IND","RB55","9","80","265","166.3","39.5","167.0","-11.0"
"179","","Ted Ginn","NO","WR66","6","101","274","167.8","37.3","187.0","+8.0"
"180","","Jameis Winston","TB","QB26","5","106","229","175.8","25.5","166.0","-14.0"
"181","","Austin Ekeler","LAC","RB56","8","89","273","171.2","36.8","188.0","+7.0"
"182","","D'Onta Foreman","HOU","RB57","10","106","261","169.8","32.7","150.0","-32.0"
"183","","Justin Tucker","BAL","K2","10","93","317","174.8","29.0","140.0","-43.0"
"184","","Frank Gore","MIA","RB58","11","116","237","171.4","25.2","221.0","+37.0"
"185","","Greg Zuerlein","LAR","K3","12","94","311","176.1","28.6","127.0","-58.0"
"186","","Mike Gesicki","MIA","TE25","11","114","289","176.3","33.4","190.0","+4.0"
"187","","Javorius Allen","BAL","RB59","10","88","269","175.7","38.5","206.0","+19.0"
"188","","Dede Westbrook","JAC","WR67","9","82","251","169.4","41.4","177.0","-11.0"
"189","","John Ross","CIN","WR68","9","43","289","176.7","47.0","212.0","+23.0"
"190","","Doug Martin","OAK","RB60","7","121","263","173.6","30.8","162.0","-28.0"
"191","","Robert Kelley","WAS","RB61","4","106","280","171.5","42.7","160.0","-31.0"
"192","","Tyrod Taylor","CLE","QB27","11","94","249","179.6","31.1","175.0","-17.0"
"193","","Danny Amendola","MIA","WR69","11","89","256","172.4","37.4","180.0","-13.0"
"194","","Hayden Hurst","BAL","TE26","10","97","284","177.9","40.5","176.0","-18.0"
"195","","T.J. Yeldon","JAC","RB62","9","105","268","180.5","34.8","216.0","+21.0"
"196","","Matt Bryant","ATL","K4","8","97","363","183.8","34.4","204.0","+8.0"
"197","","Ryan Grant","IND","WR70","9","106","269","175.3","44.3","282.0","+85.0"
"198","","LeGarrette Blount","DET","RB63","6","96","269","182.0","33.2","157.0","-41.0"
"199","","Christian Kirk","ARI","WR71","9","101","250","176.3","35.5","189.0","-10.0"
"200","","Keelan Cole","JAC","WR72","9","100","274","180.1","46.0","185.0","-15.0"
"201","","Martavis Bryant","OAK","WR73","7","97","267","177.2","39.2","173.0","-28.0"
"202","","New Orleans (NO)","","DST9","6","101","295","185.8","27.2","201.0","-1.0"
"203","","Cole Beasley","DAL","WR74","8","88","274","175.8","41.6","248.0","+45.0"
"204","","Geronimo Allison","GB","WR75","7","89","249","174.4","38.6","199.0","-5.0"
"205","","Ryan Tannehill","MIA","QB28","11","71","329","191.4","32.4","220.0","+15.0"
"206","","Taywan Taylor","TEN","WR76","8","87","279","181.5","56.5","217.0","+11.0"
"207","","Darren Sproles","PHI","RB64","9","122","264","185.1","34.5","253.0","+46.0"
"208","","Wil Lutz","NO","K5","6","100","361","188.7","31.6","196.0","-12.0"
"209","","Seattle (SEA)","","DST10","7","110","347","192.5","36.2","247.0","+38.0"
